RDKIT_SMILES,PC-1,PC-2,PC-3,First_Class,Second_Class
FC(F)Cl,-31.3243559219756,-6.007505827836883,-6.8742046656944344,PFAS derivatives,PFAS halogen derivatives
FC(F)=C(F)F,-26.898503141449748,-9.105060477648708,-0.4429676318411352,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)(Cl)C(F)(Cl)Cl,-25.474696512696752,-8.448257626323137,0.9928204914932568,PFAS derivatives,PFAS halogen derivatives
C=C(F)F,-30.753728275336076,-3.3454115071042034,-7.271079375983816,PFAS derivatives,With fluorinated C=C or C=O carbon
OC(C(F)(F)F)C(F)(F)F,-20.893974006289916,-10.904620235518522,-0.05825923306859708,Other aliphatics,Others
CC(F)F,-29.548899108212343,-4.574849115936911,-11.442425164225655,Not PFAS,Not PFAS by current definition
FC(F)C(F)(F)F,-25.643010590458303,-10.33871689506035,-3.787781487682509,Other aliphatics,Others
FC(F)(Cl)C(F)(F)Cl,-24.69564189084185,-10.789596550331147,1.58510822407086,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)Cl,-25.058627201359727,-11.253283359449252,0.6612974040611086,Other aliphatics,Others
FC(F)=C(F)Cl,-28.457150186302012,-5.5865213551172355,-1.2121482567201753,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)=C(F)C(F)(F)F,-23.587308215784798,-9.587743006517982,2.6676594836999548,Non-PFAA perfluoroalkyls,PFAenes
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.3191119179157582,-12.426911213095243,7.349120141144582,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.550385529183162,-17.508535844344955,13.027994705996015,Other aliphatics,Others
FC(F)(F)C(F)(Cl)Cl,-25.52169359319202,-9.592197883934162,0.7367046424708643,Other aliphatics,Others
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.456040883088498,-4.556966559701498,-4.993291024419701,FASA based PFAA precursors,(N-Alkyl) FASEs
CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.593003963728505,-5.295277359958535,-3.4958849090995763,FASA based PFAA precursors,(N-Alkyl) FASEs
FC(F)(F)C1(F)OC1(F)F,-20.661027180238015,-9.9454922716047,3.451356689435397,"Other aliphatics, cyclic","Others, cyclic"
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.794329303124911,-8.677354088847277,-0.40680197040372884,Fluorotelomer PFAA precursors,n:2 FTOHs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.925887024228546,-10.771351002502875,1.4218654456718893,Fluorotelomer PFAA precursors,n:2 FTOHs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-12.039902572202658,-7.270912844085221,1.942240013851776,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.609317298342027,-11.061962202347932,5.698253768098162,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.731298564780138,-12.868825136126366,6.9358711133114,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-9.210652097077602,-7.02971815591291,2.143444576037429,PFAAs,PFCAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.5618701240474253,-10.204947784569514,4.999714421118333,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.034189137160707,-10.812157042393602,5.595751170861262,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-1.9601343951767225,-9.37580645351577,4.364700889611245,PFAAs,PFCAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,7.402943930200348,31.92016970219517,11.099874803632751,Side-chain aromatics,Others
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.829250701302805,-5.338804156254963,-1.2252565413861038,FASA based PFAA precursors,N-Alkyl FASAs
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,10.776928236754172,31.808478505749605,12.161276197437617,Side-chain aromatics,Others
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,-4.021786917754827,-13.634591421684897,13.535680637005758,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.493926430441043,-8.458950493788162,3.5707118939602327,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-4.204125492771125,-9.094258633356576,4.163756687873705,PFAAs,PFSAs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,13.48490840262896,-6.783434426822508,-1.5341844140712155,Fluorotelomer PFAA precursors,n:2 FTACs
C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.2407268664141906,-1.5037483938386849,-6.049234778423956,Fluorotelomer PFAA precursors,n:2 FTACs
