RDKIT_SMILES,TSNE-PCA-1,TSNE-PCA-2,TSNE-PCA-3,PC-1,PC-2,PC-3,First_Class,Second_Class
FC(F)Cl,-6.1126375,-19.769873,-0.63601327,-31.324355921975602,-6.007505827836883,-6.874204665694434,PFAS derivatives,PFAS halogen derivatives
FC(F)=C(F)F,-5.642094,-19.462063,1.6446493,-26.89850314144975,-9.105060477648706,-0.4429676318411352,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)(Cl)C(F)(Cl)Cl,-3.567706,-19.085482,3.3398907,-25.47469651269675,-8.448257626323137,0.9928204914932568,PFAS derivatives,PFAS halogen derivatives
C=C(F)F,-6.135597,-19.77548,-0.69258326,-30.75372827533608,-3.3454115071042034,-7.271079375983817,PFAS derivatives,With fluorinated C=C or C=O carbon
OC(C(F)(F)F)C(F)(F)F,-11.348073,-17.364292,-2.9027824,-20.89397400628992,-10.904620235518522,-0.05825923306859707,Other aliphatics,Others
CC(F)F,-6.1105824,-19.735653,-0.6483355,-29.548899108212343,-4.574849115936911,-11.442425164225655,Not PFAS,Not PFAS by current definition
FC(F)C(F)(F)F,-5.74935,-18.5245,0.81599545,-25.643010590458303,-10.33871689506035,-3.787781487682509,Other aliphatics,Others
FC(F)(Cl)C(F)(F)Cl,-4.144148,-19.252634,2.9062917,-24.695641890841852,-10.789596550331149,1.58510822407086,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)Cl,-4.6915164,-19.195198,2.5823262,-25.05862720135973,-11.253283359449252,0.6612974040611086,Other aliphatics,Others
FC(F)=C(F)Cl,-4.2094426,-19.4758,2.6925664,-28.457150186302012,-5.586521355117236,-1.2121482567201751,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)=C(F)C(F)(F)F,-6.648318,-17.685154,2.538434,-23.5873082157848,-9.587743006517982,2.6676594836999548,Non-PFAA perfluoroalkyls,PFAenes
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-5.1290846,0.7542837,0.17356253,1.3191119179157582,-12.426911213095243,7.349120141144582,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.4314778,0.7271623,8.979912,13.550385529183162,-17.508535844344955,13.027994705996015,Other aliphatics,Others
FC(F)(F)C(F)(Cl)Cl,-3.7789607,-19.192186,3.1608133,-25.52169359319202,-9.592197883934162,0.7367046424708643,Other aliphatics,Others
